30/01/16_13:28:59: Creating client... 
30/01/16_13:28:59: Client human created
30/01/16_13:28:59: Starting client... 
30/01/16_13:28:59: Client started.
30/01/16_13:28:59: Sending registration message... 
30/01/16_13:28:59: OUT: HELLO human
30/01/16_13:28:59: Registration message send.
30/01/16_13:28:59: Waiting for welcome message... 
30/01/16_13:28:59: Welcome message received.
30/01/16_13:28:59: Waiting for other players to connect...
30/01/16_13:28:59: IN: WELCOME human 0
30/01/16_13:29:02: IN: NAMES human 0 human 1 999999
30/01/16_13:29:02: human's score is: 0
30/01/16_13:29:02: human's score is: 0
30/01/16_13:29:02: Tiles in pool: 96

30/01/16_13:29:02: IN: NEW Od R* Oo O* Gx Px
30/01/16_13:29:02: human's score is: 0
30/01/16_13:29:02: human's score is: 0
30/01/16_13:29:06: human's score is: 0
30/01/16_13:29:06: human's score is: 0
30/01/16_13:29:09: human's score is: 0
30/01/16_13:29:09: human's score is: 0
30/01/16_13:29:09: human's score is: 0
30/01/16_13:29:09: human's score is: 0
30/01/16_13:29:10: human's score is: 0
30/01/16_13:29:10: human's score is: 0
30/01/16_13:29:10: human's score is: 0
30/01/16_13:29:10: human's score is: 0
30/01/16_13:29:14: human's score is: 0
30/01/16_13:29:14: human's score is: 0
30/01/16_13:29:15: human's score is: 0
30/01/16_13:29:15: human's score is: 0
30/01/16_13:29:17: human's score is: 0
30/01/16_13:29:17: human's score is: 0
30/01/16_13:29:18: human's score is: 0
30/01/16_13:29:18: human's score is: 0
30/01/16_13:29:19: human's score is: 0
30/01/16_13:29:19: human's score is: 0
30/01/16_13:29:19: human's score is: 0
30/01/16_13:29:19: human's score is: 0
30/01/16_13:29:19: human's score is: 0
30/01/16_13:29:19: human's score is: 0
30/01/16_13:29:20: human's score is: 0
30/01/16_13:29:20: human's score is: 0
30/01/16_13:29:21: human's score is: 0
30/01/16_13:29:21: human's score is: 0
30/01/16_13:29:22: human's score is: 0
30/01/16_13:29:22: human's score is: 0
30/01/16_13:29:24: human's score is: 0
30/01/16_13:29:24: human's score is: 0
30/01/16_13:29:26: human's score is: 0
30/01/16_13:29:26: human's score is: 0
30/01/16_13:29:27: human's score is: 0
30/01/16_13:29:27: human's score is: 0
30/01/16_13:29:27: human's score is: 0
30/01/16_13:29:27: human's score is: 0
30/01/16_13:29:28: human's score is: 0
30/01/16_13:29:28: human's score is: 0
30/01/16_13:29:29: human's score is: 0
30/01/16_13:29:29: human's score is: 0
30/01/16_13:29:29: human's score is: 0
30/01/16_13:29:29: human's score is: 0
30/01/16_13:29:30: human's score is: 0
30/01/16_13:29:30: human's score is: 0
30/01/16_13:29:31: human's score is: 0
30/01/16_13:29:31: human's score is: 0
30/01/16_13:29:32: human's score is: 0
30/01/16_13:29:32: human's score is: 0
30/01/16_13:29:32: human's score is: 0
30/01/16_13:29:32: human's score is: 0
30/01/16_13:29:32: human's score is: 0
30/01/16_13:29:32: human's score is: 0
30/01/16_13:29:33: human's score is: 0
30/01/16_13:29:33: human's score is: 0
30/01/16_13:29:33: human's score is: 0
30/01/16_13:29:33: human's score is: 0
30/01/16_13:29:34: human's score is: 0
30/01/16_13:29:34: human's score is: 0
30/01/16_13:29:34: human's score is: 0
30/01/16_13:29:34: human's score is: 0
30/01/16_13:29:35: human's score is: 0
30/01/16_13:29:35: human's score is: 0
30/01/16_13:29:35: human's score is: 0
30/01/16_13:29:35: human's score is: 0
30/01/16_13:29:35: human's score is: 0
30/01/16_13:29:35: human's score is: 0
30/01/16_13:29:36: human's score is: 0
30/01/16_13:29:36: human's score is: 0
30/01/16_13:29:36: human's score is: 0
30/01/16_13:29:36: human's score is: 0
30/01/16_13:29:37: human's score is: 0
30/01/16_13:29:37: human's score is: 0
30/01/16_13:29:37: human's score is: 0
30/01/16_13:29:37: human's score is: 0
30/01/16_13:29:38: human's score is: 0
30/01/16_13:29:38: human's score is: 0
30/01/16_13:29:38: human's score is: 0
30/01/16_13:29:38: human's score is: 0
30/01/16_13:29:38: human's score is: 0
30/01/16_13:29:38: human's score is: 0
30/01/16_13:29:39: human's score is: 0
30/01/16_13:29:39: human's score is: 0
30/01/16_13:29:39: human's score is: 0
30/01/16_13:29:39: human's score is: 0
30/01/16_13:29:40: human's score is: 0
30/01/16_13:29:40: human's score is: 0
30/01/16_13:29:40: human's score is: 0
30/01/16_13:29:40: human's score is: 0
30/01/16_13:29:41: human's score is: 0
30/01/16_13:29:41: human's score is: 0
30/01/16_13:29:42: human's score is: 0
30/01/16_13:29:42: human's score is: 0
30/01/16_13:29:42: human's score is: 0
30/01/16_13:29:42: human's score is: 0
30/01/16_13:29:43: human's score is: 0
30/01/16_13:29:43: human's score is: 0
30/01/16_13:29:44: human's score is: 0
30/01/16_13:29:44: human's score is: 0
30/01/16_13:29:44: human's score is: 0
30/01/16_13:29:44: human's score is: 0
30/01/16_13:29:45: human's score is: 0
30/01/16_13:29:45: human's score is: 0
30/01/16_13:29:45: human's score is: 0
30/01/16_13:29:45: human's score is: 0
30/01/16_13:29:46: human's score is: 0
30/01/16_13:29:46: human's score is: 0
30/01/16_13:29:46: human's score is: 0
30/01/16_13:29:46: human's score is: 0
30/01/16_13:29:47: human's score is: 0
30/01/16_13:29:47: human's score is: 0
30/01/16_13:29:47: human's score is: 0
30/01/16_13:29:47: human's score is: 0
30/01/16_13:29:48: human's score is: 0
30/01/16_13:29:48: human's score is: 0
30/01/16_13:29:48: human's score is: 0
30/01/16_13:29:48: human's score is: 0
30/01/16_13:29:49: human's score is: 0
30/01/16_13:29:49: human's score is: 0
30/01/16_13:29:49: human's score is: 0
30/01/16_13:29:49: human's score is: 0
30/01/16_13:29:50: human's score is: 0
30/01/16_13:29:50: human's score is: 0
30/01/16_13:29:51: human's score is: 0
30/01/16_13:29:51: human's score is: 0
30/01/16_13:29:51: human's score is: 0
30/01/16_13:29:51: human's score is: 0
30/01/16_13:29:52: human's score is: 0
30/01/16_13:29:52: human's score is: 0
30/01/16_13:29:52: human's score is: 0
30/01/16_13:29:52: human's score is: 0
30/01/16_13:29:53: human's score is: 0
30/01/16_13:29:53: human's score is: 0
30/01/16_13:29:53: human's score is: 0
30/01/16_13:29:53: human's score is: 0
30/01/16_13:29:54: human's score is: 0
30/01/16_13:29:54: human's score is: 0
30/01/16_13:29:54: human's score is: 0
30/01/16_13:29:54: human's score is: 0
30/01/16_13:29:54: human's score is: 0
30/01/16_13:29:54: human's score is: 0
30/01/16_13:29:55: human's score is: 0
30/01/16_13:29:55: human's score is: 0
30/01/16_13:29:55: human's score is: 0
30/01/16_13:29:55: human's score is: 0
30/01/16_13:29:56: human's score is: 0
30/01/16_13:29:56: human's score is: 0
30/01/16_13:29:56: human's score is: 0
30/01/16_13:29:56: human's score is: 0
30/01/16_13:29:56: human's score is: 0
30/01/16_13:29:56: human's score is: 0
30/01/16_13:29:57: human's score is: 0
30/01/16_13:29:57: human's score is: 0
30/01/16_13:29:57: human's score is: 0
30/01/16_13:29:57: human's score is: 0
30/01/16_13:29:58: human's score is: 0
30/01/16_13:29:58: human's score is: 0
30/01/16_13:29:58: human's score is: 0
30/01/16_13:29:58: human's score is: 0
30/01/16_13:29:59: human's score is: 0
30/01/16_13:29:59: human's score is: 0
30/01/16_13:29:59: human's score is: 0
30/01/16_13:29:59: human's score is: 0
30/01/16_13:30:00: human's score is: 0
30/01/16_13:30:00: human's score is: 0
30/01/16_13:30:01: human's score is: 0
30/01/16_13:30:01: human's score is: 0
30/01/16_13:30:01: human's score is: 0
30/01/16_13:30:01: human's score is: 0
