30/01/16_18:28:22: Creating client... 
30/01/16_18:28:22: Client human created
30/01/16_18:28:22: Starting client... 
30/01/16_18:28:22: Client started.
30/01/16_18:28:22: Sending registration message... 
30/01/16_18:28:22: OUT: HELLO human
30/01/16_18:28:22: Registration message send.
30/01/16_18:28:22: Waiting for welcome message... 
30/01/16_18:28:22: Welcome message received.
30/01/16_18:28:22: Waiting for other players to connect...
30/01/16_18:28:22: IN: WELCOME human 0
30/01/16_18:28:23: IN: NAMES human 0 human 1 999999
30/01/16_18:28:23: human's score is: 0
30/01/16_18:28:23: human's score is: 0
30/01/16_18:28:23: Tiles in pool: 96

30/01/16_18:28:23: IN: NEW G* Pc Bx Ps Rx Gx
30/01/16_18:28:23: human's score is: 0
30/01/16_18:28:23: human's score is: 0
30/01/16_18:28:27: human's score is: 0
30/01/16_18:28:27: human's score is: 0
30/01/16_18:28:29: human's score is: 0
30/01/16_18:28:29: human's score is: 0
30/01/16_18:28:30: human's score is: 0
30/01/16_18:28:30: human's score is: 0
30/01/16_18:28:30: human's score is: 0
30/01/16_18:28:30: human's score is: 0
30/01/16_18:28:31: human's score is: 0
30/01/16_18:28:31: human's score is: 0
30/01/16_18:28:32: human's score is: 0
30/01/16_18:28:32: human's score is: 0
30/01/16_18:28:34: human's score is: 0
30/01/16_18:28:34: human's score is: 0
30/01/16_18:28:35: human's score is: 0
30/01/16_18:28:35: human's score is: 0
30/01/16_18:28:36: human's score is: 0
30/01/16_18:28:36: human's score is: 0
30/01/16_18:28:36: human's score is: 0
30/01/16_18:28:36: human's score is: 0
30/01/16_18:28:36: human's score is: 0
30/01/16_18:28:36: human's score is: 0
30/01/16_18:28:37: human's score is: 0
30/01/16_18:28:37: human's score is: 0
30/01/16_18:28:37: human's score is: 0
30/01/16_18:28:37: human's score is: 0
30/01/16_18:28:38: human's score is: 0
30/01/16_18:28:38: human's score is: 0
30/01/16_18:28:38: human's score is: 0
30/01/16_18:28:38: human's score is: 0
30/01/16_18:28:38: human's score is: 0
30/01/16_18:28:38: human's score is: 0
30/01/16_18:28:38: human's score is: 0
30/01/16_18:28:38: human's score is: 0
30/01/16_18:28:40: human's score is: 0
30/01/16_18:28:40: human's score is: 0
30/01/16_18:28:40: human's score is: 0
